sample	ancestry
1_2151-0028	EUR
1_2151-0037	EUR
1_2151-0175	EUR
1_2151-0295	EUR
1_2151-0308	EUR
1_2151-0436	EUR
1_2151-0465	EUR
1_32113-0030	EUR
1_32113-0047	EUR
1_32113-0072	EUR
1_32113-0093	EUR
1_CD39-001	EUR
1_CD39-009	EUR
1_ST1DR024	EUR
1_ST1DR040	EUR
1_ST1DR074DNA	EUR
1_ST1DR091DNA	EUR
1_ST1DR096DNA	EUR
1_ST1DR098DNA	EUR
1_ST1DR105DNA	EUR
1_ST1DR114DNA	EUR
1_ST1DR129DNA	EUR
1_ST1DR130DNA	EUR
1_ST1DR143DNA	EUR
1_ST1DR148DNA	EUR
1_ST1DR157DNA	EUR
1_ST1DR224.1	EUR
1_ST1DR266	EUR
1_ST1DR334	EUR
1_ST1DR335	EUR
1_ST1DR342	EUR
1_ST1DR346	EUR
1_ST1DR351	EUR
1_ST1DR355	EUR
1_ST1DR359	EUR
1_ST1DR362	EUR
1_ST1DR364	EUR
1_ST1DR372	EUR
1_ST1DR374	EUR
1_ST1DR378	EUR
1_ST1DR380DNA	EUR
1_ST1DR389DNA	EUR
1_ST1DR397DNA	EUR
1_ST1DR402DNA	EUR
1_ST1DR410DNA	EUR
1_ST1DR421DNA	EUR
1_ST1DR426DNA	EUR
1_ST1DR430DNA	EUR
1_ST1DR442DNA	EUR
1_ST1DR454DNA	EUR
1_ST1DR458DNA	EUR
1_ST1DR472DNA	EUR
1_ST1DR478DNA	EUR
1_ST1DR480DNA	EUR
1_ST1DR491DNA	EUR
1_ST1DR492DNA	EUR
1_ST1DR501DNA	EUR
1_ST1DR517DNA	EUR
1_ST1DR523DNA	EUR
1_ST1DR524DNA	EUR
1_ST1DR527DNA	EUR
1_ST1DR528DNA	EUR
2_2151-0154	EUR
2_2151-0255	EUR
2_2151-0283	EUR
2_2151-0399	EUR
2_2151-0408	EUR
2_2151-0442	EUR
2_32113-0005	EUR
2_32113-0018	EUR
2_32113-0023	EUR
2_32113-0087	EUR
2_32113-0106	EUR
2_32113-0135	EUR
2_32113-0281	EUR
2_CD39-002	EUR
2_CD39-010	EUR
2_ST1DR069	EUR
2_ST1DR070	EUR
2_ST1DR075DNA	EUR
2_ST1DR082DNA	EUR
2_ST1DR093DNA	EUR
