digit	allele	label	head	head_idx	parent	parent_val	expert
2	HLA-A:01	1	HLA-A	0	.	-1	E0
2	HLA-A:02	2	HLA-A	0	.	-1	E0
2	HLA-A:03	3	HLA-A	0	.	-1	E0
2	HLA-A:11	4	HLA-A	0	.	-1	E0
2	HLA-A:23	5	HLA-A	0	.	-1	E0
2	HLA-A:24	6	HLA-A	0	.	-1	E0
2	HLA-A:25	7	HLA-A	0	.	-1	E0
2	HLA-A:26	8	HLA-A	0	.	-1	E0
2	HLA-A:29	9	HLA-A	0	.	-1	E0
2	HLA-A:30	10	HLA-A	0	.	-1	E0
2	HLA-A:31	11	HLA-A	0	.	-1	E0
2	HLA-A:32	12	HLA-A	0	.	-1	E0
2	HLA-A:33	13	HLA-A	0	.	-1	E0
2	HLA-A:34	14	HLA-A	0	.	-1	E0
2	HLA-A:36	15	HLA-A	0	.	-1	E0
2	HLA-A:66	16	HLA-A	0	.	-1	E0
2	HLA-A:68	17	HLA-A	0	.	-1	E0
2	HLA-A:69	18	HLA-A	0	.	-1	E0
2	HLA-A:74	19	HLA-A	0	.	-1	E0
2	HLA-A:80	20	HLA-A	0	.	-1	E0
2	HLA-B:07	1	HLA-B	1	.	-1	E1
2	HLA-B:08	2	HLA-B	1	.	-1	E1
2	HLA-B:13	3	HLA-B	1	.	-1	E1
2	HLA-B:14	4	HLA-B	1	.	-1	E1
2	HLA-B:15	5	HLA-B	1	.	-1	E1
2	HLA-B:18	6	HLA-B	1	.	-1	E1
2	HLA-B:27	7	HLA-B	1	.	-1	E1
2	HLA-B:35	8	HLA-B	1	.	-1	E1
2	HLA-B:37	9	HLA-B	1	.	-1	E1
2	HLA-B:38	10	HLA-B	1	.	-1	E1
2	HLA-B:39	11	HLA-B	1	.	-1	E1
2	HLA-B:40	12	HLA-B	1	.	-1	E1
2	HLA-B:41	13	HLA-B	1	.	-1	E1
2	HLA-B:42	14	HLA-B	1	.	-1	E1
2	HLA-B:44	15	HLA-B	1	.	-1	E1
2	HLA-B:45	16	HLA-B	1	.	-1	E1
2	HLA-B:46	17	HLA-B	1	.	-1	E1
2	HLA-B:47	18	HLA-B	1	.	-1	E1
2	HLA-B:48	19	HLA-B	1	.	-1	E1
2	HLA-B:49	20	HLA-B	1	.	-1	E1
2	HLA-B:50	21	HLA-B	1	.	-1	E1
2	HLA-B:51	22	HLA-B	1	.	-1	E1
2	HLA-B:52	23	HLA-B	1	.	-1	E1
2	HLA-B:53	24	HLA-B	1	.	-1	E1
2	HLA-B:54	25	HLA-B	1	.	-1	E1
2	HLA-B:55	26	HLA-B	1	.	-1	E1
2	HLA-B:56	27	HLA-B	1	.	-1	E1
2	HLA-B:57	28	HLA-B	1	.	-1	E1
2	HLA-B:58	29	HLA-B	1	.	-1	E1
2	HLA-B:59	30	HLA-B	1	.	-1	E1
2	HLA-B:67	31	HLA-B	1	.	-1	E1
2	HLA-B:73	32	HLA-B	1	.	-1	E1
2	HLA-B:78	33	HLA-B	1	.	-1	E1
2	HLA-B:81	34	HLA-B	1	.	-1	E1
2	HLA-B:82	35	HLA-B	1	.	-1	E1
2	HLA-C:01	1	HLA-C	2	.	-1	E1
2	HLA-C:02	2	HLA-C	2	.	-1	E1
2	HLA-C:03	3	HLA-C	2	.	-1	E1
2	HLA-C:04	4	HLA-C	2	.	-1	E1
2	HLA-C:05	5	HLA-C	2	.	-1	E1
2	HLA-C:06	6	HLA-C	2	.	-1	E1
2	HLA-C:07	7	HLA-C	2	.	-1	E1
2	HLA-C:08	8	HLA-C	2	.	-1	E1
2	HLA-C:12	9	HLA-C	2	.	-1	E1
2	HLA-C:14	10	HLA-C	2	.	-1	E1
2	HLA-C:15	11	HLA-C	2	.	-1	E1
2	HLA-C:16	12	HLA-C	2	.	-1	E1
2	HLA-C:17	13	HLA-C	2	.	-1	E1
2	HLA-C:18	14	HLA-C	2	.	-1	E1
2	HLA-DPA1:01	1	HLA-DPA1	3	.	-1	E2
2	HLA-DPA1:02	2	HLA-DPA1	3	.	-1	E2
2	HLA-DPA1:03	3	HLA-DPA1	3	.	-1	E2
2	HLA-DPA1:04	4	HLA-DPA1	3	.	-1	E2
2	HLA-DPB1:01	1	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:02	2	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:03	3	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:04	4	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:05	5	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:06	6	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:09	7	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:10	8	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:104	9	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:105	10	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:106	11	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:107	12	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:11	13	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:124	14	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:126	15	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:13	16	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:131	17	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:133	18	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:135	19	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:138	20	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:14	21	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:15	22	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:150	23	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:153	24	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:16	25	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:162	26	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:17	27	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:18	28	HLA-DPB1	4	.	-1	E2
